CDPAIS;PAIS;ORDEN
4;AFGANISTAN;1
248;ALAND;2
8;ALBANIA;3
276;ALEMANIA;4
20;ANDORRA;5
24;ANGOLA;6
660;ANGUILLA;7
10;ANTARTIDA;8
28;ANTIGUA Y BARBUDA;9
530;ANTILLAS HOLANDESAS;10
682;ARABIA SAUDITA;11
12;ARGELIA;12
32;ARGENTINA;13
51;ARMENIA;14
533;ARUBA;15
36;AUSTRALIA;16
40;AUSTRIA;17
31;AZERBAIYAN;18
44;BAHAMAS;19
48;BAHREIN;20
50;BANGLADESH;21
52;BARBADOS;22
56;BELGICA;23
84;BELICE;24
204;BENIN;25
60;BERMUDAS;26
64;BHUTAN;27
112;BIELORRUSIA;28
68;BOLIVIA;29
70;BOSNIA HERZEGOVINA;30
72;BOTSWANA;31
74;BOUVET, ISLA;32
76;BRASIL;33
96;BRUNEI;34
100;BULGARIA;35
854;BURKINA-FASO (Alto Volta);36
108;BURUNDI;37
132;CABO VERDE;38
136;CAIMAN, ISLAS;39
120;CAMERUN;40
124;CANADA;41
148;CHAD;42
203;CHECA, REPUBLICA;43
152;CHILE;44
156;CHINA;45
196;CHIPRE;46
336;CIUDAD DEL VATICANO;47
166;COCOS, ISLAS;48
170;COLOMBIA;49
174;COMORES;50
178;CONGO;51
184;COOK, ISLA;52
408;COREA DEL NORTE;53
410;COREA DEL SUR;54
384;COSTA DE MARFIL;55
188;COSTA RICA;56
191;CROACIA;57
192;CUBA;58
208;DINAMARCA;59
262;DJIBOUTI;60
212;DOMINICA;61
218;ECUADOR;62
840;EE.UU.;63
818;EGIPTO;64
784;EMIRATOS ARABES UNIDOS;65
232;ERITREA;66
703;ESLOVAQUIA;67
705;ESLOVENIA;68
724;ESPAčA;69
233;ESTONIA;70
231;ETIOPIA;71
234;FEROE, ISLAS;72
242;FIDJI;73
608;FILIPINAS;74
246;FINLANDIA;75
250;FRANCIA;76
266;GABON;77
270;GAMBIA;78
268;GEORGIA;79
288;GHANA;80
292;GIBRALTAR;81
308;GRANADA;82
300;GRECIA;83
304;GROENLANDIA;84
312;GUADALUPE;85
316;GUAM;86
320;GUATEMALA;87
254;GUAYANA FRANCESA;88
831;GUERNSEY ;89
324;GUINEA;90
226;GUINEA ECUATORIAL;91
624;GUINEA-BISSAU;92
328;GUYANA;93
332;HAITI;94
334;HEARD Y McDONALD, ISLAS;95
340;HONDURAS;96
344;HONG-KONG;97
348;HUNGRIA;98
356;INDIA;99
360;INDONESIA;100
368;IRAK;101
364;IRAN;102
372;IRLANDA;103
833;ISLA DE MAN;104
352;ISLANDIA;105
581;ISLAS MENORES EE.UU.;106
376;ISRAEL;107
380;ITALIA;108
388;JAMAICA;109
392;JAPON;110
832;JERSEY;111
400;JORDANIA;112
116;KAMPUCHEA;113
398;KAZAKHSTAN;114
404;KENYA;115
417;KIRGUIZISTAN;116
296;KIRIBATI;117
414;KUWAIT;118
418;LAOS;119
426;LESOTHO;120
428;LETONIA;121
422;LIBANO;122
430;LIBERIA;123
434;LIBIA;124
438;LIECHTENSTEIN;125
440;LITUANIA;126
442;LUXEMBURGO;127
446;MACAO;128
807;MACEDONIA;129
450;MADAGASCAR;130
458;MALASIA;131
454;MALAWI;132
462;MALDIVAS, ISLAS;133
466;MALI;134
470;MALTA;135
238;MALVINAS, ISLAS;136
580;MARIANAS DEL NORTE, ISLAS;137
504;MARRUECOS;138
584;MARSHALL, ISLAS;139
474;MARTINICA;140
480;MAURICIO;141
478;MAURITANIA;142
175;MAYOTTE;143
484;MEJICO;144
583;MICRONESIA;145
498;MOLDAVIA;146
492;MONACO;147
496;MONGOLIA;148
500;MONSERRAT;149
499;MONTENEGRO;150
508;MOZAMBIQUE;151
104;MYANMAR;152
516;NAMIBIA;153
520;NAURU;154
162;NAVIDAD, ISLA DE;155
524;NEPAL;156
558;NICARAGUA;157
562;NIGER;158
566;NIGERIA;159
574;NORFOLK, ISLA;160
578;NORUEGA;161
540;NUEVA CALEDONIA;162
554;NUEVA ZELANDA;163
512;OMAN;164
528;PAISES BAJOS;165
586;PAKISTAN;166
585;PALAU;167
591;PANAMA;168
598;PAPUA NUEVA GUINEA;169
600;PARAGUAY;170
604;PERU;171
612;PITCAIRN, ISLAS;172
258;POLINESIA FRANCESA;173
616;POLONIA;174
620;PORTUGAL;175
630;PUERTO RICO;176
634;QATAR;177
826;REINO UNIDO;178
140;REPUBLICA CENTROAFRICANA;179
570;REPUBLICA DE NIUE;180
674;REPUBLICA DE SAN MARINO;181
710;REPUBLICA DE SUDAFRICA;182
626;REPUBLICA DEMOCRATICA DE TIMOR ORIENTAL;183
214;REPUBLICA DOMINICANA;184
638;REUNION;185
642;RUMANIA;186
643;RUSIA;187
646;RWANDA;188
732;SAHARA OCCIDENTAL;189
90;SALOMON, ISLAS;190
222;SALVADOR, EL;191
16;SAMOA AMERICANA;192
882;SAMOA OCCIDENTAL;193
659;SAN CRISTOBAL Y NEVIS;194
666;SAN PEDRO Y MIQUELON;195
670;SAN VICENTE;196
654;SANTA ELENA;197
662;SANTA LUCIA;198
678;SANTO TOME Y PRINCIPE;199
686;SENEGAL;200
688;SERBIA;201
690;SEYCHELLES;202
694;SIERRA LEONA;203
702;SINGAPUR;204
760;SIRIA;205
706;SOMALIA;206
144;SRI LANKA;207
736;SUDAN;208
752;SUECIA;209
756;SUIZA;210
239;SUR GEORGIA Y SANDWICH;211
740;SURINAM;212
744;SVALBARD Y JAN MAYEN, ISLAS;213
748;SWAZILAND;214
158;TAIWAN;215
834;TANZANIA;216
762;TAYIKISTAN;217
86;TERRITORIO BRITANICO DEL OCEANO INDICO;218
260;TERRITORIOS AUSTRALES FRANCESES;219
275;TERRITORIOS PALESTINOS OCUPADOS;220
764;THAILANDIA;221
768;TOGO;222
772;TOKELAU;223
776;TONGA;224
780;TRINIDAD Y TOBAGO;225
788;TUNEZ;226
795;TURKMENISTAN;227
796;TURQUESAS Y CAICOS, ISLAS;228
792;TURQUIA;229
798;TUVALU;230
804;UCRANIA;231
800;UGANDA;232
858;URUGUAY;233
860;UZBEKISTAN;234
548;VANUATU;235
862;VENEZUELA;236
704;VIETNAM;237
850;VIRGENES AMERICANAS,ISLAS;238
92;VIRGENES BRITANICAS,ISLAS;239
876;WALLIS Y FUTUNA, ISLAS;240
887;YEMEN;241
180;ZAIRE;242
894;ZAMBIA;243
716;ZIMBABWE;244
999;O.I.L.;245
